"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","hr","tamin","ta","tamax","pres","stdvv","ts","pres_nmar","tpr","vis","stddv","inso","tss5cm","psoltp","pliqt","rviento","vmaxu","dvu","pacutp","vvu","stdvvu","stddvu","dmaxu","tss20cm","geo925","nieve","geo700","geo850.value","geo850.present"
"0009X",0.963335,"2021-03-23T00:00:00",0,406,7.3,4,258,41.213894,242,"ALFORJA",60,7.7,7.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0016A",1.178894,"2021-03-23T00:00:00",0,71,4.6,3.4,340,41.14972,350,"REUS/AEROPUERTO",86,8.2,8.3,9,1010.4,0.3,8.1,1019.7,6.1,30,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0034X",1.260838,"2021-03-23T00:00:00",0,233,NA,NA,NA,41.293053,NA,"VALLS",88,4.8,4.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0042Y",1.249167,"2021-03-23T00:00:00",0,55,3.1,1.8,325,41.123894,332,"TARRAGONA  FAC. GEOGRAFIA",89,9.2,9.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0061X",1.519269,"2021-03-23T00:00:00",0,632,2.2,1.3,280,41.417053,290,"PONTONS",87,4.9,4.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0066X",1.676942,"2021-03-23T00:00:00",0,177,1.6,0.7,24,41.33028,342,"VILAFRANCA DEL PENEDÈS",87,9.1,9.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0073X",1.852626,"2021-03-23T00:00:00",0,58,0.8,0.3,345,41.243786,345,"SITGES-VALLCARCA",95,8.7,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0076",2.069995,"2021-03-23T00:00:00",0,4,4.1,2,10,41.29278,10,"BARCELONA/AEROPUERTO",86,9.2,9.2,9.8,1019.2,0.4,2.5,1019.8,7,21,143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0092X",1.857494,"2021-03-23T00:00:00",0,682,3.1,0.9,335,42.101387,85,"BERGA  INSTITUTO",62,5,5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0106X",1.872504,"2021-03-23T00:00:00",0,361,2.2,1.2,342,41.866386,337,"BALSARENY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0114X",2.026561,"2021-03-23T00:00:00",0,700,1.6,0.7,321,42.007057,330,"PRATS DE LLUÇANÈS",86,1.2,1.2,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0120X",2.09539,"2021-03-23T00:00:00",0,742,2.2,0.8,49,41.81328,70,"MOIÀ",82,5.1,5.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0149X",1.84028,"2021-03-23T00:00:00",0,291,2.8,1.1,64,41.71988,80,"MANRESA",68,6.5,6.5,7.8,985.1,NA,4.7,1020.5,1.1,20,NA,0,11.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0158X",1.839223,"2021-03-23T00:00:00",0,738,NA,NA,NA,41.594444,NA,"MONTSERRAT",87,6.4,6.4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0171X",1.617778,"2021-03-23T00:00:00",0,313,3.4,1.1,279,41.578888,299,"IGUALADA",78,7.1,7.8,7.8,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0194D",1.885,"2021-03-23T00:00:00",0,647,NA,NA,NA,41.40819,NA,"CORBERA  PIC D?AGULLES ",100,6.4,6.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0201D",2.200001,"2021-03-23T00:00:00",0,6,3.6,1.8,262,41.390556,276,"BARCELONA CMT",90,11.4,11.4,11.6,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0201X",2.173886,"2021-03-23T00:00:00",0,5,1.8,0.9,273,41.374996,275,"BARCELONA  DRASSANES",81,11.6,11.6,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0222X",2.168412,"2021-03-23T00:00:00",0,175,3.8,2.5,302,41.612663,305,"CALDES DE MONTBUI",89,6.7,7.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0244X",2.362637,"2021-03-23T00:00:00",0,56,2.5,1,311,41.504894,310,"VILASSAR DE DALT",87,10.1,10.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0252D",2.54,"2021-03-23T00:00:00",0,74,2.8,0.5,353,41.587223,32,"ARENYS DE MAR",89,7.7,7.9,8.3,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0255B",2.696949,"2021-03-23T00:00:00",0,40,1.9,0.5,93,41.650833,100,"SANTA SUSANA",90,4.5,4.5,5.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0260X",2.431023,"2021-03-23T00:00:00",0,936,NA,NA,NA,41.760063,NA,"FONTMARTINA",71,4.1,4.2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0281Y",2.805112,"2021-03-23T00:00:00",0,45,3.8,1.6,268,41.677055,275,"BLANES JARDIN BOTANICO",77,10.2,10.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0284X",3.030933,"2021-03-23T00:00:00",0,14,3.4,1.7,246,41.807816,262,"CASTELL PLATJA D?ARO",83,6,6.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0312X",2.364353,"2021-03-23T00:00:00",0,851,1.9,0.8,153,42.258446,180,"SANT PAU DE SEGURIES",89,-0.5,-0.5,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0320I",2.102774,"2021-03-23T00:00:00",0,1151,5.9,2.5,302,42.31688,305,"PLANOLES",49,3.3,4.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0324A",2.196187,"2021-03-23T00:00:00",0,675,0,0,0,42.191387,36,"RIPOLL",80,2.1,2.1,3,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0360X",2.551007,"2021-03-23T00:00:00",0,337,0.8,0.3,42,42.052837,62,"LES PLANES D?HOSTOLES",93,1.2,1.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0363X",2.513329,"2021-03-23T00:00:00",0,810,1.8,1.2,333,41.880833,337,"SANT HILARI",84,0.7,0.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0367",2.763329,"2021-03-23T00:00:00",0,143,2.6,2.1,30,41.911667,30,"GIRONA/COSTA BRAVA",90,1.7,2.1,4.1,1003.3,0.2,3,1019.4,0.6,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0370E",2.819442,"2021-03-23T00:00:00",0,76,1.9,0.2,305,41.972332,295,"GIRONA-PARC MIGDIA",72,6.5,6.5,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0372C",2.763611,"2021-03-23T00:00:00",0,157,4,0.4,16,42.104443,273,"PORQUERES",73,4.2,4.6,5.5,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0385X",3.201389,"2021-03-23T00:00:00",0,1,5.7,2.9,320,42.053886,312,"L?ESTARTIT",53,10.3,10.3,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0394X",2.471827,"2021-03-23T00:00:00",0,350,2.1,1,269,42.210556,270,"VALL DE BIANYA",84,2.5,2.5,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0411X",3.093053,"2021-03-23T00:00:00",0,2,4.5,1.6,334,42.224834,315,"CASTELLO D?EMPURIES",48,11.2,11.2,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0413A",2.75558,"2021-03-23T00:00:00",0,355,4.1,1.6,292,42.386925,310,"MAÇANET DE CABRENYS",67,4.7,5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0421X",3.006114,"2021-03-23T00:00:00",0,100,11.3,4.8,353,42.38988,322,"ESPOLLA  LES ALBERES",43,12.8,12.8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0433D",3.315831,"2021-03-23T00:00:00",0,76,NA,12.6,275,42.31904,NA,"EVC_CABO DE CREUS",63,12.9,12.9,13,1006.2,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1002Y",-1.542961,"2021-03-23T00:00:00",0,183,1.4,0.3,71,43.135723,225,"IRURITA",89,3.2,3.3,5.3,NA,0.2,NA,NA,1.7,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010X",-1.675786,"2021-03-23T00:00:00",0,54,1.3,0.1,312,43.27869,137,"VERA DE BIDASOA",93,4.8,4.8,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012P",-1.796536,"2021-03-23T00:00:00",0,120,0,0,201,43.32641,292,"IRUN-LAPIZE",86,7.4,7.4,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014A",-1.792116,"2021-03-23T00:00:00",0,4,3.6,1.5,210,43.357075,250,"SAN SEBASTIÁN/FUENTERRABIA",83,7,7.3,7.4,1024.2,0.3,7.3,1025.2,4.6,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021X",-1.878823,"2021-03-23T00:00:00",0,165,2.1,0.5,201,43.213833,135,"RENTERIA (PRESA DEL AÑARBE)",94,5.3,5.3,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025A",-2.256663,"2021-03-23T00:00:00",0,255,1.1,0.3,63,43.015553,265,"SEGURA LASTALA",93,3.1,3.1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1025X",-2.232037,"2021-03-23T00:00:00",0,255,1.5,0.2,322,43.054634,180,"ARRIARAN",96,3.7,3.7,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1026X",-2.184273,"2021-03-23T00:00:00",0,290,1.3,0.4,142,43.05816,122,"ORDIZIA-ARETA",92,4.9,4.9,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1033X",-1.950836,"2021-03-23T00:00:00",0,520,0.7,0,55,43.085,257,"ARESO (GUEREÑOENEA - AUTOMATICA)",95,3.2,3.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037X",-2.337095,"2021-03-23T00:00:00",0,460,NA,NA,NA,43.051796,NA,"LEGAZPIA",97,1.8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1037Y",-2.3175,"2021-03-23T00:00:00",0,420,1.6,0.3,260,43.079918,277,"ZUMARRAGA-URZABALETA",98,1.5,1.8,2.5,973.1,NA,NA,1024.8,1.5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038X",-2.267175,"2021-03-23T00:00:00",0,180,2.2,1.4,228,43.172577,250,"AZPEITIA-IBAIEDER",71,5.9,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041A",-2.251035,"2021-03-23T00:00:00",0,28,6.8,2.6,184,43.30214,182,"ZUMAYA FARO",91,7.7,7.8,9,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044X",-2.589645,"2021-03-23T00:00:00",0,617,NA,NA,NA,43.057835,NA,"ARAMAYONA ECHAGÜEN",94,2.1,2.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048X",-2.465715,"2021-03-23T00:00:00",0,308,NA,NA,NA,43.02505,NA,"ARETXABALETA-EMBALSE URKULU",95,1.7,1.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049N",-2.495827,"2021-03-23T00:00:00",0,470,1.6,0.5,230,43.138332,220,"ELGETA",93,3.2,3.8,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050J",-2.413218,"2021-03-23T00:00:00",0,119,1.7,0,0,43.209293,59,"ELGOIBAR IBERDROLA",90,4.7,4.8,5,1010.4,NA,NA,1025.2,3.2,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052A",-2.397148,"2021-03-23T00:00:00",0,150,1.9,0.5,175,43.31722,187,"MUTRIKU-GALDONAMENDI",83,8,8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056K",-2.671184,"2021-03-23T00:00:00",0,45,2.2,1.4,252,43.34239,247,"FORUA-GAITOKA",95,3.8,3.8,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057B",-2.752762,"2021-03-23T00:00:00",0,93,3.4,1.7,123,43.453907,122,"MACHICHACO FARO",78,7.9,8.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059X",-3.021602,"2021-03-23T00:00:00",0,90,3.5,1.7,170,43.375088,166,"PUNTA GALEA ",94,6.6,9.6,9.7,1014.6,NA,NA,1025.6,8.7,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060X",-3.005452,"2021-03-23T00:00:00",0,240,1,0.3,220,43.05024,127,"AMURRIO (INSTITUTO)",93,1.9,1.9,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064L",-2.860274,"2021-03-23T00:00:00",0,270,1.5,0.6,191,43.096333,192,"OROZCO- IBARRA",91,1.9,1.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069Y",-2.644187,"2021-03-23T00:00:00",0,747,NA,NA,NA,43.09923,NA,"URKIOLA (SANTUARIO)",93,1.7,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074C",-2.706153,"2021-03-23T00:00:00",0,100,1.6,0.2,132,43.202892,152,"AMOREBIETA-SAN MIGUEL DUDEA",95,3.1,3.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078C",-3.209649,"2021-03-23T00:00:00",0,210,NA,NA,NA,43.180576,NA,"BALMASEDA-SALINILLAS",94,2.1,2.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082",-2.906304,"2021-03-23T00:00:00",0,42,3.6,1.2,100,43.29795,80,"BILBAO/AEROPUERTO",92,3.9,4,4.3,1020.5,0.2,3.6,1025.4,2.9,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083B",-3.168615,"2021-03-23T00:00:00",0,177,1.2,0.3,26,43.27972,42,"SOPUERTA-JARRALTA",99,3.1,3.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083L",-3.233884,"2021-03-23T00:00:00",0,45,4.6,2.2,165,43.39473,161,"CASTRO URDIALES-EDAR",94,6.8,7.4,7.4,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089U",-3.47083,"2021-03-23T00:00:00",0,80,1,0.5,250,43.255833,220,"RAMALES DE LA VICTORIA-ETAP",96,2.4,2.4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096X",-3.469721,"2021-03-23T00:00:00",0,10,3.8,1.7,151,43.39667,147,"TRETO",95,4.7,4.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102D",-3.685906,"2021-03-23T00:00:00",0,700,2,0.7,315,43.19065,340,"SOBA-ALTO MIERA",55,3.1,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109X",-3.831385,"2021-03-23T00:00:00",0,3,3.1,0,0,43.42861,90,"SANTANDER AEROPUERTO",90,4.4,4.7,6.3,1024.2,0,4.8,1024.9,3.2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111X",-3.800431,"2021-03-23T00:00:00",0,52,6.2,4,127,43.491055,110,"SANTANDER CMT",80,7.9,7.9,8.6,1017,0.4,7,1024.2,4.6,15.1,7,0,11.2,NA,NA,NA,6.3,121,0,4,0.5,4,114,11.4,NA,NA,NA,NA,NA
"1124E",-3.849449,"2021-03-23T00:00:00",0,190,0.8,0.2,281,43.245556,227,"VILLACARRIEDO - SANTIBAÑEZ",96,2.9,2.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135C",-4.214141,"2021-03-23T00:00:00",0,460,1,0.4,124,43.146942,67,"BÁRCENA MAYOR-TORIZ",99,0.7,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152C",-4.048612,"2021-03-23T00:00:00",0,105,1.3,0.7,143,43.271942,142,"SAN FELICES DE BUELNA-TARRIBA",95,3.3,3.3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154H",-4.027419,"2021-03-23T00:00:00",0,110,6.2,5.2,140,43.358517,135,"TORRELAVEGA-SIERRAPANDO",91,5.7,5.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",-4.392103,"2021-03-23T00:00:00",0,38,3.3,2.5,167,43.393456,161,"SAN VICENTE  FARO",93,5.9,6,6.9,1018.5,NA,NA,1023.4,5,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167B",-4.812779,"2021-03-23T00:00:00",0,1100,1.3,0.7,278,43.143894,280,"FUENTE DÉ-TELEFÉRICO",46,3.2,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174I",-4.601783,"2021-03-23T00:00:00",0,250,0.6,0.1,176,43.18286,225,"TAMA",93,2.7,2.7,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176A",-4.668234,"2021-03-23T00:00:00",0,940,3.2,0.5,4,43.255714,35,"TRESVISO",54,6.9,6.9,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178Y",-4.931762,"2021-03-23T00:00:00",0,953,NA,NA,NA,43.145374,NA,"SOTO DE VALDEÓN (AUTOMATICA)",70,1.9,1.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179B",-4.852774,"2021-03-23T00:00:00",0,458,1.4,0.5,112,43.31111,165,"CARREÑA DE CABRALES",98,4.7,4.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183X",-4.748056,"2021-03-23T00:00:00",0,10,3.7,1.8,132,43.420277,125,"LLANES",73,8.5,8.5,9.5,1021.7,NA,9.3,1022.9,3.9,18,NA,0,11.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186P",-5.119247,"2021-03-23T00:00:00",0,370,0.8,0.2,73,43.266632,20,"AMIEVA  PANIZALES",99,3.6,3.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1199X",-5.396674,"2021-03-23T00:00:00",0,280,2,0.1,104,43.377834,90,"BARGAÉU PILOÑA",95,5.3,5.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203D",-5.247153,"2021-03-23T00:00:00",0,30,7.9,2,105,43.49235,70,"COLUNGA",82,8.8,8.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207U",-5.621111,"2021-03-23T00:00:00",0,26,3.9,0.6,211,43.523056,80,"GIJÓN-CAMPUS",84,7.8,7.8,9.2,1019.3,0.2,7.2,1023.3,5.3,20,49,0,12.3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA
"1208H",-5.700833,"2021-03-23T00:00:00",0,5,6,3,80,43.559723,95,"GIJÓN  MUSEL",75,10.5,10.6,10.8,1022.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210X",-5.848572,"2021-03-23T00:00:00",0,100,15.4,8.9,115,43.655926,107,"CABO PEÑAS",NA,9.9,10,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212E",-6.044173,"2021-03-23T00:00:00",0,127,5.7,2.7,180,43.56694,140,"ASTURIAS/AVILÉS",98,6.4,6.8,7.2,1006.8,0.4,7.3,1037.5,6.5,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1221D",-5.776392,"2021-03-23T00:00:00",0,1480,7.1,5.6,169,42.978607,170,"PAJARES - VALGRANDE",53,4.4,5.1,5.2,NA,NA,NA,NA,-3.6,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1223P",-5.822748,"2021-03-23T00:00:00",0,370,2,0.8,197,43.132706,142,"RONZÓN",95,4.5,4.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
